"","PassengerId","HomePlanet","CryoSleep","Cabin","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Name","Transported"
"3531","3787_01","Mars","True","F/716/S","TRAPPIST-1e",55,"False",0,0,0,0,0,"Sugard Prie","True"
"8515","9081_08","Earth","True","G/1476/P","PSO J318.5-22",3,"False",0,0,0,0,0,"Virgie Clemondsey","True"
"531","0565_01","Mars","False","F/115/P","TRAPPIST-1e",31,"False",697,0,612,0,0,"Cines Ble","False"
"2148","2302_01","Europa","False","A/18/P","TRAPPIST-1e",54,"True",0,3381,0,4463,34,"Sterion Dedometeel","False"
"5211","5557_01","Earth","True","G/890/P","TRAPPIST-1e",37,"False",0,0,0,0,0,"Jerek Mathison","True"
"3596","3866_01","","False","F/797/P","TRAPPIST-1e",43,"False",0,0,7,0,963,"Lis Hendrys","False"
"1874","1999_01","Earth","False","F/383/S","TRAPPIST-1e",55,"False",373,1,1,496,0,"Shelle Kimons","False"
"1714","1822_01","Earth","False","G/299/P","TRAPPIST-1e",31,"False",2,811,0,0,0,"Charly Mirez","True"
"963","1024_03","","False","G/152/P","55 Cancri e",54,"False",0,5,0,594,209,"Bellee Chavezalez","False"
"6337","6706_02","Europa","True","B/224/P","TRAPPIST-1e",25,"False",0,0,0,0,0,"Arix Dishocatal","True"
"5635","5989_01","","False","F/1141/S","TRAPPIST-1e",20,"False",0,0,NA,703,0,"Darrie Holcompton","False"
"5395","5758_01","Earth","True","G/934/S","TRAPPIST-1e",22,"False",0,0,0,0,0,"Heidie Mcguirez","True"
"3773","4030_04","Earth","True","G/661/S","TRAPPIST-1e",21,"False",0,0,0,0,0,"Beula Carpennels","False"
"6682","7045_01","Mars","False","D/222/P","55 Cancri e",19,"False",1043,0,138,0,0,"Range Bara","False"
"8054","8611_01","Earth","False","F/1766/P","55 Cancri e",24,"False",2,644,0,0,0,"Rice Mejiaddox","False"
"3795","4047_01","Earth","True","G/666/S","TRAPPIST-1e",29,"False",0,0,0,0,0,"Ivanne Rivanseney","True"
"6281","6649_01","Earth","False","F/1274/S","TRAPPIST-1e",16,"False",NA,0,265,0,0,"Andan Wartyson","False"
"159","0179_03","Earth","False","G/26/P","TRAPPIST-1e",3,"False",0,0,0,0,0,"Sallyl Webstephrey","True"
"5475","5839_01","Europa","True","C/219/S","TRAPPIST-1e",27,"False",0,0,0,0,0,"Ranopus Unloweedic","True"
"2759","2965_01","Earth","False","F/622/P","TRAPPIST-1e",14,"False",0,0,709,258,3,"Amandy Munozanson","False"
"1416","1499_01","Earth","False","F/287/S","TRAPPIST-1e",21,"False",5,0,0,2,1061,"Teryla Keithunts","False"
"4159","4444_01","Earth","False","E/291/S","TRAPPIST-1e",40,"False",0,901,0,0,89,"Kenny Salez","False"
"1572","1663_01","Earth","True","G/268/P","PSO J318.5-22",36,"False",0,0,0,0,0,"Carita Villenson","True"
"4843","5165_01","Earth","False","F/989/S","TRAPPIST-1e",63,"False",0,281,94,0,270,"Alancy Collinson","True"
"7287","7790_01","","True","F/1490/S","TRAPPIST-1e",29,"False",0,0,0,0,0,"Pold Casty","False"
"1489","1580_01","Earth","False","G/246/S","TRAPPIST-1e",13,"False",0,0,8,0,714,"Enrie Hinesh","False"
"7221","7713_01","Europa","True","B/296/S","TRAPPIST-1e",30,"False",0,0,0,0,0,"Nusoton Nairconed","True"
"2140","2296_01","Earth","True","G/369/P","TRAPPIST-1e",22,"False",0,0,NA,0,0,"Kencey Patteraley","True"
"6322","6680_01","Earth","False","G/1082/P","TRAPPIST-1e",36,"False",NA,361,512,34,0,"Letta Puckley","True"
"2697","2890_02","Europa","True","B/89/P","TRAPPIST-1e",36,"False",0,0,0,0,0,"Suhain Cattyried","True"
"273","0301_01","Earth","True","","TRAPPIST-1e",16,"False",0,0,0,0,0,"Margia Wriggins","False"
"3974","4242_01","Mars","True","F/877/P","TRAPPIST-1e",28,"False",0,0,0,0,0,"Bix Ecate","True"
"5856","6200_01","Europa","False","B/238/S","TRAPPIST-1e",27,"False",3,4654,0,657,214,"Saxino Duckil","True"
"777","0815_01","Earth","False","E/59/S","TRAPPIST-1e",13,"False",2,1,30,NA,0,"Wenise Meyersones","False"
"5222","5569_01","Earth","True","G/891/P","TRAPPIST-1e",18,"False",0,0,0,0,0,"Brance Mcfarleys","False"
"3579","3850_05","Europa","True","C/137/S","TRAPPIST-1e",15,"False",0,0,0,0,0,"Thallah Unteckery","True"
"116","0120_01","Mars","True","F/25/P","TRAPPIST-1e",24,"False",0,0,0,0,NA,"Bees Sacre","True"
"4290","4569_02","Europa","","B/151/P","55 Cancri e",37,"False",0,2235,7,4098,89,"Aldah Honchoe","False"
"1679","1779_01","Earth","False","F/349/P","55 Cancri e",37,"False",164,603,0,0,11,"Evan Hermanapp","True"
"6951","7377_01","Earth","True","G/1186/P","PSO J318.5-22",43,"False",0,0,0,0,0,"Estine Steelerettt","False"
"4446","4726_02","Europa","False","C/187/S","55 Cancri e",26,"False",0,3452,0,4,1960,"Korneb Praugnox","True"
"3902","4176_03","Mars","False","F/859/P","TRAPPIST-1e",20,"False",760,0,742,352,0,"Shood Opité","True"
"6230","6590_01","Europa","True","B/217/P","TRAPPIST-1e",24,"False",0,0,0,0,0,"Gollux Nifficaus","False"
"3348","3602_01","Mars","","F/678/S","TRAPPIST-1e",11,"False",0,0,0,0,0,"Dakes Vicke","True"
"6737","7104_02","Europa","False","C/228/P","TRAPPIST-1e",42,"",159,4387,2,3,485,"Alatrix Regmansidy","True"
"949","1008_02","Europa","True","C/39/S","TRAPPIST-1e",60,"False",0,0,0,0,0,"Wimpha Spistory","True"
"3159","3406_01","Europa","False","C/112/P","TRAPPIST-1e",49,"False",0,104,809,3668,7,"Iononus Metiveal","False"
"4076","4351_01","Earth","False","F/895/P","",21,"",641,0,409,0,0,"Timmy Carezquez","False"
"7993","8552_01","Mars","False","E/545/P","TRAPPIST-1e",19,"False",0,0,0,0,0,"Pot Hapie","False"
"3834","4102_01","Europa","True","B/128/P","TRAPPIST-1e",48,"False",0,0,0,0,0,"Brark Whetedy","True"
"434","0465_01","Earth","False","E/28/P","TRAPPIST-1e",19,"False",4,10,0,1178,428,"Deandy Chaellerty","False"
"8240","8801_01","Earth","False","F/1707/S","TRAPPIST-1e",37,"False",10,557,51,83,0,"Justie Vincenton","False"
"8498","9074_04","Earth","True","G/1460/S","55 Cancri e",10,"False",0,0,0,0,0,"Duana Trerady","True"
"6435","6788_01","Earth","False","G/1103/P","TRAPPIST-1e",56,"False",2,736,0,71,0,"Glenna Weberton","False"
"7874","8401_01","Europa","True","C/315/S","55 Cancri e",31,"False",0,0,0,0,0,"Ariton Susent","True"
"7790","8317_01","Earth","False","F/1710/P","55 Cancri e",18,"False",2,83,576,37,0,"Olgary Rocknight","False"
"2394","2572_01","Europa","True","C/93/S","55 Cancri e",21,"False",0,0,0,0,0,"Sheratz Suptibler","True"
"4833","5156_01","Europa","True","B/200/S","55 Cancri e",21,"False",0,0,0,0,0,"Sabiark Traild","True"
"2942","3191_01","Mars","True","F/603/S","TRAPPIST-1e",68,"False",0,0,0,0,0,"Fex Sin","True"
"2615","2798_01","Europa","False","A/23/P","TRAPPIST-1e",37,"False",6,437,NA,54,3030,"Furudra Timleplet","False"
"3908","4177_02","Europa","True","B/161/S","55 Cancri e",NA,"False",0,0,0,0,0,"Wezno Foraud","True"
"4760","5080_01","Earth","False","F/969/S","",21,"False",1,0,143,558,1,"Herina Buckeelez","False"
"8262","8823_01","Mars","True","F/1710/S","TRAPPIST-1e",19,"False",0,0,0,0,0,"Stax Jamad","True"
"2748","2949_01","Earth","True","G/482/P","TRAPPIST-1e",22,"False",0,0,0,NA,0,"Florey Boltertley","False"
"4111","4390_01","Mars","True","F/903/P","TRAPPIST-1e",8,"False",0,0,0,0,0,"Jayrin Vloaf","True"
"3705","3981_01","Earth","False","","PSO J318.5-22",33,"False",400,270,33,0,0,"Pamont Carvis","False"
"7995","8554_01","Earth","False","E/547/P","PSO J318.5-22",58,"False",487,0,195,0,7,"Britta Valezaley","True"
"6886","7290_03","Europa","True","D/227/P","55 Cancri e",NA,"False",0,0,0,0,0,"Atrino Bruthydre","True"
"2796","3019_01","Mars","False","E/187/P","TRAPPIST-1e",51,"False",1644,0,234,157,64,"Yakers Peake","False"
"815","0865_02","Europa","True","B/35/S","55 Cancri e",22,"False",0,0,0,0,0,"Neutria Sandul","True"
"2390","2564_01","Europa","False","E/179/S","TRAPPIST-1e",42,"False",2,3024,0,89,10,"Acceleb Unrent","True"
"7552","8072_01","Europa","True","D/236/S","TRAPPIST-1e",26,"False",0,0,0,0,0,"Mareson Prombled","True"
"6332","6697_01","Earth","False","G/1085/P","",20,"False",0,1,34,0,774,"Mariel Irwines","False"
"453","0485_01","Europa","False","B/17/S","55 Cancri e",21,"False",0,33,0,3348,55,"Furudah Unloweedic","False"
"7017","7461_01","Europa","True","D/223/S","TRAPPIST-1e",35,"False",0,0,0,0,0,"Zavior Plaricit","True"
"4899","5221_01","Earth","False","F/1065/P","TRAPPIST-1e",25,"False",0,528,8,153,0,"Jilla Herreras","False"
"4825","5144_01","Earth","True","G/830/P","TRAPPIST-1e",19,"",0,0,0,0,0,"","True"
"198","0220_02","Earth","False","G/37/P","TRAPPIST-1e",0,"False",0,0,0,0,0,"Wena Wilsoney","True"
"3313","3558_02","Mars","True","F/737/P","TRAPPIST-1e",19,"False",0,0,0,0,0,"Rose Manie","True"
"7083","7538_01","Europa","False","A/81/P","TRAPPIST-1e",48,"True",313,2864,0,0,12424,"Achira Uncionted","False"
"2442","2617_01","Earth","False","G/424/P","PSO J318.5-22",32,"False",59,0,469,0,0,"Yolas Peckerson","False"
"1490","1580_02","Earth","False","G/246/S","TRAPPIST-1e",18,"False",428,0,36,0,424,"Janita Hinesh","False"
"6745","7114_01","Earth","False","F/1362/S","TRAPPIST-1e",24,"False",0,489,21,0,184,"Camiet Ricklaney","False"
"2","0002_01","Earth","False","F/0/S","TRAPPIST-1e",24,"False",109,9,25,549,44,"Juanna Vines","True"
"882","0944_01","Earth","False","G/137/P","TRAPPIST-1e",16,"False",891,0,831,0,0,"Hilley Weaverays","False"
"6356","6722_03","Europa","True","E/445/S","55 Cancri e",40,"False",0,0,0,0,0,"Skyrmak Dicely","True"
"165","0189_01","Earth","False","E/8/P","55 Cancri e",49,"False",84,3,401,202,98,"Helly Booters","False"
"7506","8027_02","Earth","False","F/1535/S","55 Cancri e",27,"False",31,225,331,0,14,"Wally Logannon","False"
"995","1056_02","Mars","True","F/218/P","55 Cancri e",30,"False",0,0,0,0,0,"Otlios Ble","True"
"1642","1738_02","Earth","True","G/268/S","55 Cancri e",22,"False",0,0,0,0,0,"Wenny Sawyerson","True"
"8021","8584_01","Earth","False","F/1655/S","TRAPPIST-1e",22,"False",4,0,72,21,600,"Marvey Coopelandez","False"
"661","0689_01","Europa","True","B/25/S","TRAPPIST-1e",36,"False",0,0,0,0,0,"Chard Motive","True"
"3177","3424_01","Earth","False","E/233/S","TRAPPIST-1e",37,"False",190,0,2,799,0,"Jillie Carrishley","False"
"7060","7513_01","Earth","","E/488/P","TRAPPIST-1e",25,"False",0,779,0,2,6,"Marynk Welles","False"
"3108","3353_01","Europa","False","C/125/S","TRAPPIST-1e",NA,"False",0,216,191,12062,59,"Toperon Reming","False"
"1007","1075_02","Europa","True","B/41/S","TRAPPIST-1e",27,"False",0,0,0,0,0,"Duhra Objeciane","True"
"6274","6641_01","Europa","True","C/247/S","TRAPPIST-1e",26,"False",0,0,0,0,0,"Algork Diateous","True"
"6863","7257_02","Earth","False","E/467/P","TRAPPIST-1e",NA,"False",0,1,12,0,779,"Gretty Gardsondez","False"
"6583","6946_01","Earth","False","F/1439/P","TRAPPIST-1e",70,"False",28,0,0,672,104,"Samany Buckson","False"
"8174","8733_01","Earth","False","G/1406/S","TRAPPIST-1e",NA,"False",22,226,0,0,633,"Leen Wolfernan","False"
"1607","1705_01","Mars","False","E/126/S","TRAPPIST-1e",29,"True",0,0,0,0,0,"Barave Chake","False"
"2033","2172_01","Earth","False","G/347/S","PSO J318.5-22",23,"False",0,774,0,0,0,"Belly Barbes","True"
"3263","3499_02","Earth","False","G/574/P","TRAPPIST-1e",1,"False",0,0,0,0,0,"Yolace Clemondsey","True"
"2179","2329_01","Mars","True","F/472/P","TRAPPIST-1e",29,"False",0,NA,0,0,0,"Heersh Burry","True"
"529","0564_02","Europa","True","B/24/P","TRAPPIST-1e",28,"False",0,0,0,0,0,"Taura Dinsprody","True"
"4903","5224_01","Earth","False","F/1003/S","TRAPPIST-1e",24,"False",0,0,56,564,880,"Diandy Mckinn","False"
"5833","6174_01","Earth","False","F/1274/P","55 Cancri e",24,"False",0,479,116,1,37,"Jord Mcbriddley","False"
"2052","2196_02","Europa","False","B/65/P","55 Cancri e",26,"False",26,4587,0,102,0,"Zinonon Veriedeezy","True"
"2654","2837_01","Earth","False","F/588/P","PSO J318.5-22",23,"False",0,0,NA,3,1919,"Sergia Mcgoway","False"
"121","0128_01","Mars","False","D/3/S","TRAPPIST-1e",61,"True",2353,334,9,316,2,"Grohs Fles","False"
"6214","6568_01","Earth","False","F/1366/P","55 Cancri e",36,"False",695,NA,0,0,0,"Ianya Jacostaney","False"
"3775","4031_01","Europa","True","C/131/P","55 Cancri e",NA,"False",0,NA,0,0,0,"Algeno Listive","True"
"7353","7865_03","Europa","True","C/293/S","55 Cancri e",41,"False",0,0,0,0,0,"Meratzn Secont","True"
"4195","4473_02","Mars","False","E/292/S","TRAPPIST-1e",27,"False",994,0,26,1,0,"Terek Welte","False"
"2648","2826_02","Europa","False","C/96/P","TRAPPIST-1e",49,"False",20,6807,174,3538,2473,"Terops Pabler","False"
"7002","7446_01","Earth","False","G/1204/P","TRAPPIST-1e",18,"False",960,672,0,0,168,"Mamina Hopez","False"
"6831","7219_01","Europa","False","C/235/P","TRAPPIST-1e",0,"False",0,0,0,0,0,"Taraid Arible","True"
"3434","3703_01","","True","F/768/P","TRAPPIST-1e",27,"False",NA,0,0,0,0,"Ots Coflé","True"
"3281","3521_02","Europa","True","B/135/S","TRAPPIST-1e",70,"False",0,0,0,0,0,"Atrinon Radisiouss","True"
"1565","1659_01","Earth","False","F/313/S","TRAPPIST-1e",41,"False",0,82,3,0,718,"Rayle Pugherman","False"
"1758","1865_06","","False","G/292/S","TRAPPIST-1e",6,"False",0,0,0,0,0,"Racyle Roses","False"
"1207","1287_01","Mars","True","F/259/P","TRAPPIST-1e",1,"False",0,0,0,0,0,"Wilves Pimne","True"
"1300","1381_01","Earth","True","G/209/S","PSO J318.5-22",20,"False",0,0,0,0,0,"Stevey Hoopez","True"
"4994","5333_01","Earth","False","G/862/P","TRAPPIST-1e",48,"False",456,0,39,0,5,"Vane Andley","True"
"2123","2274_02","Europa","True","C/79/P","55 Cancri e",28,"False",0,0,0,0,0,"Mino Shoeweely","True"
"5338","5706_01","Earth","False","F/1090/S","TRAPPIST-1e",16,"False",0,458,725,0,0,"Norahe Kerrealds","True"
"7253","7753_01","Earth","True","G/1245/P","55 Cancri e",NA,"False",0,0,0,0,0,"Noria Puckenton","False"
"101","0108_01","Earth","True","G/19/S","TRAPPIST-1e",23,"False",0,0,0,0,0,"Natald Handertiz","False"
"6468","6825_02","Mars","False","F/1306/S","TRAPPIST-1e",24,"False",3481,0,1236,2,256,"","False"
"3532","3787_02","Mars","False","F/716/S","TRAPPIST-1e",7,"False",0,0,0,0,0,"Smals Prie","True"
"1083","1149_04","Earth","False","G/178/S","TRAPPIST-1e",0,"False",0,0,0,0,0,"Chadie Vaught","False"
"7743","8264_01","Mars","False","F/1584/S","TRAPPIST-1e",21,"False",32,0,1008,0,0,"Lifes Ste","True"
"7594","8118_01","Earth","True","G/1310/P","TRAPPIST-1e",21,"False",0,0,0,0,0,"Eilace Browlerson","False"
"7329","7841_02","Earth","False","F/1627/P","PSO J318.5-22",48,"False",0,0,501,242,0,"Elly Maynardner","False"
"1680","1781_01","Europa","False","C/66/S","55 Cancri e",28,"False",0,11026,0,0,12,"Alballa Brailidy","True"
"8394","8972_01","Mars","True","F/1736/S","TRAPPIST-1e",34,"False",0,NA,0,0,0,"Frunch Spore","True"
"5464","5824_01","Earth","True","G/940/P","55 Cancri e",20,"False",0,0,0,0,0,"Carry Contrevins","True"
"7218","7710_01","Europa","False","B/253/P","TRAPPIST-1e",27,"False",118,1769,4127,118,619,"Chabih Eguing","True"
"4606","4904_01","Earth","False","E/317/S","TRAPPIST-1e",44,"False",2,0,0,788,0,"Tamin Willynnedy","False"
"6928","7346_01","Mars","False","E/476/P","TRAPPIST-1e",27,"False",0,0,0,0,NA,"Wales Blan","False"
"5841","6179_01","Europa","True","B/209/P","TRAPPIST-1e",35,"False",0,NA,0,0,0,"Salas Fanbox","True"
"4966","5299_01","Earth","True","G/863/S","TRAPPIST-1e",16,"False",0,0,0,0,0,"Brina Coopezmaney","True"
"6799","7181_01","Mars","True","F/1488/P","TRAPPIST-1e",28,"False",0,0,NA,0,0,"Unchal Date","True"
"7464","7984_04","Mars","False","F/1653/P","TRAPPIST-1e",1,"False",0,0,0,0,0,"Guakes Birt","True"
"2222","2384_01","Earth","True","G/383/S","TRAPPIST-1e",57,"False",0,0,0,0,0,"Paulah Cleachrand","False"
"7780","8306_02","Earth","True","G/1351/P","PSO J318.5-22",29,"False",0,0,0,0,0,"Ianya Hardonald","True"
"4649","4946_01","Earth","True","G/799/P","TRAPPIST-1e",25,"False",0,0,0,0,0,"Helley Kiddley","False"
"6114","6452_01","Earth","False","F/1336/P","TRAPPIST-1e",24,"False",0,854,11,0,0,"","True"
"6730","7097_01","Europa","False","A/75/P","55 Cancri e",27,"False",0,44,4761,5,41,"Altanin Dedometeel","True"
"8144","8703_01","Earth","False","F/1685/S","TRAPPIST-1e",44,"False",84,0,308,0,1179,"Lynnie Simpsonks","False"
"7446","7962_01","Earth","False","G/1290/P","TRAPPIST-1e",14,"False",0,360,0,25,1340,"Gwendy Dillines","False"
"3206","3449_01","Earth","False","G/556/S","TRAPPIST-1e",29,"False",0,4,0,0,904,"Virgie Chardsons","False"
"3869","4147_02","Europa","True","C/149/S","TRAPPIST-1e",45,"False",0,0,0,0,0,"Acrabik Lendly","True"
"6995","7437_02","Europa","True","B/279/S","TRAPPIST-1e",47,"False",0,0,0,0,0,"Kraban Disgul","True"
"7024","7478_01","Europa","False","C/276/S","",56,"False",0,5711,0,0,50,"Minchib Porkilte","True"
"2342","2521_01","Mars","True","E/151/P","TRAPPIST-1e",43,"",0,0,0,0,0,"Stey Cry","False"
"537","0570_01","Europa","False","C/22/S","TRAPPIST-1e",36,"True",530,5085,1,146,872,"Chard Tramsor","True"
"4780","5097_03","Earth","False","F/1039/P","55 Cancri e",51,"False",6,0,706,0,0,"Eulahy Peterstarks","True"
"2903","3136_01","Earth","True","G/514/P","TRAPPIST-1e",29,"False",0,0,0,0,0,"Feline Mcneiderson","True"
"5212","5559_01","Earth","True","G/897/S","55 Cancri e",23,"False",0,0,0,0,0,"","True"
"4449","4726_05","Europa","False","C/187/S","TRAPPIST-1e",37,"False",8,21,0,56,2167,"Arraiam Inghtal","True"
"7044","7501_01","Earth","False","F/1433/S","TRAPPIST-1e",18,"False",0,0,0,484,320,"Henryn Burchard","False"
"6317","6674_04","Europa","True","E/426/P","TRAPPIST-1e",25,"False",0,0,0,0,0,"Acruxon Swirring","True"
"2610","2793_01","Earth","False","E/169/P","TRAPPIST-1e",48,"False",784,87,0,0,1,"Darrie Mcinton","True"
"5281","5639_01","Earth","False","G/913/S","TRAPPIST-1e",22,"False",19,9,0,0,594,"Bel Ewins","True"
"5930","6292_01","Earth","False","G/1020/S","PSO J318.5-22",22,"False",0,0,0,48,653,"Verly Chardsons","True"
"3002","3248_01","Earth","False","G/526/P","TRAPPIST-1e",21,"False",0,NA,0,0,0,"Rice Baldens","False"
"2538","2723_02","Europa","False","C/99/S","TRAPPIST-1e",54,"False",0,5876,0,0,914,"Dabiton Boderbint","True"
"2854","3081_02","Europa","True","C/118/S","TRAPPIST-1e",57,"False",0,0,0,0,0,"Sadirak Reedall","True"
"1135","1198_01","Mars","False","","TRAPPIST-1e",28,"",42,1116,0,0,0,"Rinnab Tie","True"
"2636","2819_01","Earth","False","F/586/P","TRAPPIST-1e",38,"False",77,169,0,0,470,"Stal Ocherman","False"
"1779","1890_01","Earth","True","G/308/P","55 Cancri e",43,"False",0,0,0,0,0,"Beathy Englence","False"
"1671","1769_01","Mars","True","F/339/S","TRAPPIST-1e",58,"False",0,0,0,0,0,"Choney Sinda","True"
"84","0091_01","Earth","True","G/16/S","TRAPPIST-1e",26,"False",NA,0,0,0,0,"Deanne Yorkland","True"
"3025","3279_01","Europa","False","C/123/S","55 Cancri e",9,"False",0,0,0,0,0,"Mard Whifounrew","True"
"7971","8516_01","Earth","False","F/1750/P","TRAPPIST-1e",20,"False",NA,0,0,327,0,"Denis Hopez","True"
"8147","8708_01","Earth","False","G/1413/P","PSO J318.5-22",28,"False",679,0,0,0,0,"Annard Jacostaffey","False"
"5242","5595_01","Earth","False","F/1067/S","TRAPPIST-1e",30,"False",0,1,0,870,0,"Sonard Craftstens","False"
"8425","8998_01","Earth","True","G/1449/S","TRAPPIST-1e",41,"False",0,0,0,0,0,"Gerry Englence","False"
"1146","1211_05","Earth","False","F/232/S","55 Cancri e",13,"False",1,212,843,78,10,"Scotty Alvasquez","True"
"4170","4450_02","Europa","False","C/140/P","55 Cancri e",65,"False",0,7194,0,6,NA,"Ranons Clugete","True"
"1933","2067_01","Europa","True","C/70/P","TRAPPIST-1e",30,"False",0,0,0,0,0,"Alatrin Sprender","True"
"5481","5846_01","Mars","False","E/376/S","TRAPPIST-1e",27,"True",149,0,890,9,0,"Morny Gerin","False"
"7006","7450_01","Earth","False","G/1205/P","TRAPPIST-1e",23,"False",509,0,193,0,2,"Armene Sykess","False"
"4172","4450_04","Europa","False","C/140/P","TRAPPIST-1e",28,"False",0,3627,0,31,3263,"Altar Clugete","False"
"7830","8360_01","Europa","True","B/326/S","TRAPPIST-1e",17,"False",0,0,0,0,0,"Okulas Valousead","True"
"3251","3490_01","Europa","False","D/111/P","TRAPPIST-1e",29,"False",4,3439,0,0,0,"Meropus Sprender","True"
"8299","8861_01","Europa","False","C/291/P","TRAPPIST-1e",32,"False",0,2583,3,500,129,"Arkard Secened","True"
"5105","5454_01","Mars","False","E/343/P","TRAPPIST-1e",NA,"False",848,1497,2,0,0,"Oark Krake","False"
"3446","3711_01","Mars","True","F/700/S","TRAPPIST-1e",40,"False",0,0,0,0,0,"Coyal Quart","True"
"403","0441_01","Earth","False","F/79/S","55 Cancri e",32,"False",0,0,0,722,0,"Loree Hahnstonsen","False"
"7918","8458_01","Europa","False","C/319/S","55 Cancri e",57,"False",0,4301,31,665,6329,"Atonea Sempreate","False"
"8430","9004_01","Europa","True","B/292/P","55 Cancri e",20,"False",0,0,0,0,0,"Kabiton Plegred","True"
"6534","6898_01","Europa","False","","55 Cancri e",27,"False",146,3786,490,0,18,"Gemmark Bootious","True"
"6458","6816_04","Earth","False","G/1108/P","TRAPPIST-1e",10,"False",0,0,0,0,0,"Troyce Ewiseston","True"
"2506","2692_01","Earth","False","","TRAPPIST-1e",24,"False",0,0,21,0,695,"Samie Weberts","False"
"5717","6055_03","Europa","False","C/185/P","TRAPPIST-1e",20,"False",1883,0,NA,8810,0,"Terops Prefule","False"
"2422","2595_04","Mars","False","F/533/P","TRAPPIST-1e",8,"False",0,0,0,0,0,"Treynx Fle","True"
"209","0221_06","Mars","False","E/13/S","TRAPPIST-1e",16,"False",915,0,221,234,0,"Gran Reke","False"
"4635","4933_04","Mars","True","F/938/S","TRAPPIST-1e",1,"False",0,0,0,0,0,"Clakey Gin","True"
"3814","4072_01","Earth","True","G/671/S","TRAPPIST-1e",60,"False",0,0,NA,0,0,"Mael Chasey","True"
"1097","1162_01","Europa","False","C/45/S","TRAPPIST-1e",31,"False",0,1847,0,103,694,"Menchah Radisiouss","True"
"8531","9108_01","Earth","True","G/1468/S","TRAPPIST-1e",44,"False",0,0,0,0,0,"Julion Shawforden","True"
"930","0992_05","Europa","True","D/35/S","55 Cancri e",17,"False",0,0,0,0,0,"Sinon Kiling","True"
"1467","1550_01","Europa","False","C/58/S","TRAPPIST-1e",26,"False",1,230,0,42,4030,"Marin Supiensive","False"
"1707","1812_01","","False","F/357/P","TRAPPIST-1e",25,"False",9,852,73,12,57,"Agnesa Hickson","True"
"2772","2988_01","Europa","False","A/36/S","55 Cancri e",33,"False",396,1280,7,308,4941,"Winon Cousel","False"
"6226","6585_01","Earth","True","G/1071/S","TRAPPIST-1e",21,"False",0,0,0,0,0,"Becca Hornettoney","True"
"8367","8947_01","Mars","True","F/1731/S","TRAPPIST-1e",34,"False",0,0,0,0,0,"Soyos Mish","True"
"6908","7322_01","Earth","False","F/1408/S","TRAPPIST-1e",63,"",0,0,424,0,2027,"Tera Gardsondez","False"
"550","0579_01","Earth","False","F/108/S","TRAPPIST-1e",55,"False",53,790,37,0,0,"Greggy Trankliney","True"
"5769","6111_03","Europa","True","","55 Cancri e",21,"False",0,0,0,0,0,"Ainkard Folumorly","True"
"5610","5969_02","Earth","False","F/1137/S","55 Cancri e",37,"False",0,698,0,NA,6,"Lardy Reenez","False"
"4411","4680_03","Mars","","F/952/P","TRAPPIST-1e",19,"False",0,0,0,0,0,"","True"
"1438","1515_01","Earth","False","F/293/S","TRAPPIST-1e",18,"False",765,0,13,0,0,"Herina Oconley","False"
"1860","1980_03","Earth","True","G/312/S","TRAPPIST-1e",44,"False",0,0,0,0,0,"Penne Browlerson","True"
"7883","8411_01","Earth","False","F/1726/P","TRAPPIST-1e",15,"False",0,3137,0,0,0,"Therry Parsoney","True"
"8548","9127_01","Earth","False","G/1470/S","PSO J318.5-22",26,"False",0,749,20,0,0,"Yola Pittler","False"
"2053","2196_03","Europa","True","B/65/P","TRAPPIST-1e",37,"False",0,0,0,0,0,"Genubi Veriedeezy","True"
"5605","5967_01","Earth","True","G/965/P","55 Cancri e",38,"False",NA,0,0,0,0,"Jonald Duranks","True"
"4541","4829_01","Mars","False","F/982/P","TRAPPIST-1e",45,"False",944,292,2,NA,0,"Ale Shpie","False"
"4305","4591_01","Europa","True","E/287/P","55 Cancri e",34,"False",0,0,0,0,0,"Hadyon Coictrazy","True"
"3476","3739_01","Earth","False","G/615/S","TRAPPIST-1e",19,"False",0,312,2,76,418,"Francy Johnsby","False"
"1908","2043_01","Mars","True","F/395/S","TRAPPIST-1e",24,"False",NA,0,0,0,0,"Goles Teake","True"
"3611","3875_01","Earth","False","E/232/P","TRAPPIST-1e",19,"False",0,0,3,785,0,"Teremy Garzaley","False"
"6225","6583_02","Europa","False","B/254/S","55 Cancri e",53,"False",0,2606,0,1170,0,"Zinon Asivetfuel","True"
"2530","2717_01","Earth","False","G/431/S","TRAPPIST-1e",18,"False",130,0,13,191,554,"Francy Mayder","False"
"2682","2871_02","Europa","True","B/88/P","TRAPPIST-1e",27,"False",0,0,0,0,0,"Sarthim Unregul","True"
"135","0146_01","Earth","False","G/25/S","TRAPPIST-1e",56,"False",0,0,0,0,0,"Verly Wolferguson","False"
"5392","5756_07","Earth","False","","TRAPPIST-1e",25,"False",12,6,2817,342,0,"Shanie Garden","False"
"2751","2954_01","Earth","False","F/619/P","55 Cancri e",18,"False",235,0,101,0,316,"Karlie Gordanieves","True"
"6162","6503_01","Earth","False","F/1347/P","TRAPPIST-1e",27,"False",0,1,20,0,1363,"Billia Mcfarley","False"
"7394","7902_03","Earth","True","G/1276/P","TRAPPIST-1e",49,"False",0,0,0,0,0,"Jodye Georgasey","False"
